Robot Speed,Robot Angle,Error in Lineal Speed,Error in Angular Speed
0.2526596486568451,0.7837904691696167,0.047340351343154896,2.3578021844201764
0.25499060153961184,0.666875034570694,0.04500939846038815,2.474717619019099
0.2477345144748688,0.69422347843647,0.05226548552513119,2.447369175153323
0.2464881845712662,0.5723145678639412,0.05351181542873379,2.569278085725852
0.2601081498026848,0.5225740633904934,0.03989185019731517,2.6190185901992997
0.27048555024504667,0.28274854086339474,0.02951444975495332,2.8588441127263984
0.26186140782868866,0.3494448846206069,0.038138592171311325,2.792147768969186
0.25835470474275357,0.23796430697664622,0.04164529525724642,2.903628346613147
0.25557921781998044,0.28981707218848174,0.04442078218001955,2.8517755814013115
0.2566785793441042,0.3248421167453751,0.04332142065589578,2.816750536844418
0.2655123991612349,0.26564823822265493,0.034487600838765065,2.875944415367138
0.2814200689950962,0.07771519931631349,0.018579931004903794,3.0638774542734795
0.27339395617479495,0.17363386254737134,0.02660604382520504,2.9679587910424217
0.28995209695429575,-0.024973050642943195,0.010047903045704243,3.1665657042327364
0.3365740337508706,-0.019221561824323965,-0.036574033750870594,3.160814215414117
0.32405747251550443,0.05436028449978629,-0.02405747251550444,3.0872323690900068
0.331753807754875,-0.11003203324157418,-0.03175380775487502,3.2516246868313674
0.3193786926492102,-0.1661481422037937,-0.019378692649210216,3.307740795793587
0.3212684620103878,-0.15380033919373673,-0.02126846201038779,3.2953929927835297
0.30758270132675547,-0.04336316349350977,-0.007582701326755481,3.1849558170833028
0.34909040190101964,-0.04232919107893319,-0.049090401901019654,3.1839218446687263
0.3658184569238541,0.08876643278283586,-0.06581845692385413,3.052826220806957
0.36718335400452473,0.27549155084564725,-0.06718335400452474,2.866101102744146
0.39011046275881167,0.13774641330487525,-0.09011046275881168,3.003846240284918
0.3886936246042303,-0.027763891439613733,-0.0886936246042303,3.169356545029407
0.39782066095037927,0.1304392502716389,-0.09782066095037928,3.011153403318154
0.3942329133882851,-0.0691733283390516,-0.0942329133882851,3.2107659819288448
0.37284271973384,0.030698115594096735,-0.07284271973383999,3.1108945379956965
0.3502807026327781,0.021003923535562533,-0.05028070263277812,3.1205887300542305
0.35637829946468463,-0.15210994328241023,-0.056378299464684645,3.2937025968722033
0.3439672551780062,-0.05617014984947866,-0.043967255178006204,3.1977628034392716
0.3284804682936475,1.8265062608491256e-05,-0.028480468293647532,3.1415743885271845
0.3199545661514585,-0.07797693650659487,-0.01995456615145852,3.219569590096388
0.3619556355391966,-0.038881034619241056,-0.061955635539196585,3.1804736882090343
0.3997162456436479,0.003522514432702281,-0.0997162456436479,3.1380701391570907
0.412965840857344,-0.08943903523978548,-0.11296584085734401,3.2310316888295785
0.4235162914643739,-0.16395407985118293,-0.12351629146437393,3.305546733440976
0.41954018302411333,0.05025328930794659,-0.11954018302411334,3.0913393642818465
0.42810591722414343,-0.05687396165806535,-0.12810591722414344,3.1984666152478587
0.4458822488625537,-0.3634902993179424,-0.1458822488625537,3.5050829529077356
0.4583429050302229,-0.4351347767714021,-0.1583429050302229,3.576727430361195
0.46089317666194335,-0.4880209401312492,-0.16089317666194336,3.629613593721042
0.48898743033440256,-0.4520810441729148,-0.18898743033440257,3.593673697762708
0.47282346582440743,-0.5756089088222432,-0.17282346582440744,3.7172015624120363
0.4604313447716374,-0.6737866339297041,-0.1604313447716374,3.815379287519497
0.43681371134303854,-0.5412147823462735,-0.13681371134303855,3.6828074359360667
0.4313577555577413,-0.49723090977876044,-0.13135775555774132,3.6388235633685535
0.4576208123231342,-0.44020108358331317,-0.15762081232313419,3.5817937371731063
0.48645008760670516,-0.3831771535539728,-0.18645008760670517,3.524769807143766
0.48102426372152296,-0.16672974135256718,-0.18102426372152297,3.30832239494236
