TIME_DELTA,SPEED,REFERENCE,CONTROL,ERROR
0.00,-8.000000,0.000000,0.000000,0.000000
0.02,-8.000000,0.000000,0.000000,0.000000
0.02,-8.000000,0.000000,0.000000,0.000000
0.05,-8.000000,0.000000,0.000000,0.000000
0.06,-8.000000,0.000000,0.000000,0.000000
0.18,-8.000000,0.000000,0.000000,0.000000
0.18,-8.000000,0.000000,0.000000,0.000000
0.20,-8.000000,0.000000,0.000000,0.000000
0.20,-8.000000,0.000000,0.000000,0.000000
0.21,-8.000000,0.000000,0.000000,0.000000
0.22,-8.000000,0.000000,0.000000,0.000000
0.23,-8.000000,0.000000,0.000000,0.000000
0.23,-8.000000,0.000000,0.000000,0.000000
0.26,-8.000000,0.000000,0.000000,0.000000
0.27,-8.000000,0.000000,0.000000,0.000000
0.29,-8.000000,0.000000,0.000000,0.000000
0.30,-8.000000,0.000000,0.000000,0.000000
0.33,-8.000000,0.000000,0.000000,0.000000
0.34,-8.000000,0.000000,0.000000,0.000000
0.36,-8.000000,0.000000,0.000000,0.000000
0.37,-8.000000,0.000000,0.000000,0.000000
0.40,-8.000000,0.000000,0.000000,0.000000
0.40,-8.000000,0.000000,0.000000,0.000000
0.43,-8.000000,0.000000,0.000000,0.000000
0.44,-8.000000,0.000000,0.000000,0.000000
0.46,-8.000000,0.000000,0.000000,0.000000
0.47,-8.000000,0.000000,0.000000,0.000000
0.50,-8.000000,0.000000,0.000000,0.000000
0.51,-8.000000,0.000000,0.000000,0.000000
0.53,-8.000000,0.000000,0.000000,0.000000
0.54,-8.000000,0.000000,0.000000,0.000000
0.57,-8.000000,0.000000,0.000000,0.000000
0.59,-8.000000,0.000000,0.000000,0.000000
0.60,-8.000000,0.000000,0.000000,0.000000
0.63,-8.000000,0.000000,0.000000,0.000000
0.65,-8.000000,0.000000,0.000000,0.000000
0.68,-8.000000,0.000000,0.000000,0.000000
0.69,-8.000000,0.000000,0.000000,0.000000
0.71,-8.000000,0.000000,0.000000,0.000000
0.72,-8.000000,0.000000,0.000000,0.000000
0.75,-8.000000,0.000000,0.000000,0.000000
0.76,-8.000000,0.000000,0.000000,0.000000
0.78,-8.000000,0.000000,0.000000,0.000000
0.79,-8.000000,0.000000,0.000000,0.000000
0.82,-8.000000,0.000000,0.000000,0.000000
0.85,-8.000000,0.000000,0.000000,0.000000
0.86,-8.000000,0.000000,0.000000,0.000000
0.88,-8.000000,0.000000,0.000000,0.000000
0.94,-8.000000,0.000000,0.000000,0.000000
0.95,-8.000000,0.000000,0.000000,0.000000
0.95,-8.000000,0.000000,0.000000,0.000000
0.96,-8.000000,0.000000,0.000000,0.000000
0.96,-8.000000,0.000000,0.000000,0.000000
0.97,-8.000000,0.000000,0.000000,0.000000
0.98,-8.000000,0.000000,0.000000,0.000000
1.01,-8.000000,0.000000,0.000000,0.000000
1.01,-8.000000,0.000000,0.000000,0.000000
1.04,-8.000000,0.000000,0.000000,0.000000
1.05,-8.000000,0.000000,0.000000,0.000000
1.08,-8.000000,0.000000,0.000000,0.000000
1.08,-8.000000,0.000000,0.000000,0.000000
1.11,-8.000000,0.000000,0.000000,0.000000
1.12,-8.000000,0.000000,0.000000,0.000000
1.15,-8.000000,0.000000,0.000000,0.000000
1.15,-8.000000,0.000000,0.000000,0.000000
1.18,-8.000000,0.000000,0.000000,0.000000
1.19,-8.000000,0.000000,0.000000,0.000000
1.21,-8.000000,0.000000,0.000000,0.000000
1.24,-8.000000,0.000000,0.000000,0.000000
1.25,-8.000000,0.000000,0.000000,0.000000
1.28,-8.000000,0.000000,0.000000,0.000000
1.29,-8.000000,0.000000,0.000000,0.000000
1.31,-8.000000,0.000000,0.000000,0.000000
1.32,-8.000000,0.000000,0.000000,0.000000
1.35,-8.000000,0.000000,0.000000,0.000000
1.36,-8.000000,0.000000,0.000000,0.000000
1.38,-8.000000,0.000000,0.000000,0.000000
1.39,-8.000000,0.000000,0.000000,0.000000
1.42,-8.000000,0.000000,0.000000,0.000000
1.43,-8.000000,0.000000,0.000000,0.000000
1.45,-8.000000,0.000000,0.000000,0.000000
1.46,-8.000000,0.000000,0.000000,0.000000
1.49,-8.000000,0.000000,0.000000,0.000000
1.50,-8.000000,0.000000,0.000000,0.000000
1.52,-8.000000,0.000000,0.000000,0.000000
1.53,-8.000000,0.000000,0.000000,0.000000
1.60,-8.000000,0.000000,0.000000,0.000000
1.61,-8.000000,0.000000,0.000000,0.000000
1.62,-8.000000,0.000000,0.000000,0.000000
1.62,-8.000000,0.000000,0.000000,0.000000
1.63,-8.000000,0.000000,0.000000,0.000000
1.64,-8.000000,0.000000,0.000000,0.000000
1.65,-8.000000,0.000000,0.000000,0.000000
1.67,-8.000000,0.000000,0.000000,0.000000
1.68,-8.000000,0.000000,0.000000,0.000000
1.71,-8.000000,0.000000,0.000000,0.000000
1.72,-8.000000,0.000000,0.000000,0.000000
1.74,-8.000000,0.000000,0.000000,0.000000
1.75,-8.000000,0.000000,0.000000,0.000000
