Robot Speed,Robot Angle,Lineal Speed Reference,Angular Speed Reference,Error in Lineal Speed,Error in Angular Speed,Tiempo
0.3655778765678406,0.20381155610084534,0.3,1.5707963267948966,-0.06557787656784059,1.3669847706940512,0.0010290145874023438
0.3332473266869784,0.16164051443338395,0.3,1.5707963267948966,-0.033247326686978385,1.4091558123615127,1.645237922668457
0.33682382661849264,0.16264427408576015,0.3,1.5707963267948966,-0.03682382661849265,1.4081520527091365,3.1022114753723145
0.32061777316406376,0.23646401797235017,0.3,1.5707963267948966,-0.02061777316406377,1.3343323088225465,4.590543985366821
0.30761811109967535,0.31107593865245586,0.3,1.5707963267948966,-0.007618111099675362,1.2597203881424406,6.125558376312256
0.29984326785136023,0.21482475362166767,0.3,1.5707963267948966,0.00015673214863975993,1.355971573173229,7.487641096115112
0.2856309231400081,0.11204340245078508,0.3,1.5707963267948966,0.014369076859991892,1.4587529243441115,8.894773006439209
0.26603083979602954,0.054637985102091766,0.3,1.5707963267948966,0.03396916020397045,1.5161583416928048,10.324793338775635
0.2550786003904012,-0.03150027095816624,0.3,1.5707963267948966,0.04492139960959879,1.6022965977530628,11.668576955795288
0.25356067706076507,0.027542676631729986,0.3,1.5707963267948966,0.04643932293923492,1.5432536501631666,13.212358236312866
0.24726672460670654,0.1230467314458977,0.3,1.5707963267948966,0.05273327539329345,1.447749595348999,14.628857612609863
0.2611701949539964,0.30986651375327323,0.3,1.5707963267948966,0.038829805046003585,1.2609298130416233,16.07517433166504
0.25819894946544036,0.3495141380527659,0.3,1.5707963267948966,0.041801050534559625,1.2212821887421308,17.484791040420532
0.2541979650580466,0.24307660879186188,0.3,1.5707963267948966,0.045802034941953396,1.3277197180030347,19.02010464668274
0.24051503538402144,0.24583791453979667,0.3,1.5707963267948966,0.05948496461597855,1.3249584122551,20.366844654083252
0.25126694917063913,0.04185507380374301,0.3,1.5707963267948966,0.04873305082936086,1.5289412529911535,21.69340205192566
0.24588579785270395,-0.06411158725552535,0.3,1.5707963267948966,0.05411420214729604,1.634907914050422,23.150455236434937
0.23509369806745262,-0.12881630377411346,0.3,1.5707963267948966,0.06490630193254737,1.69961263056901,24.650856018066406
0.254138533916759,-0.15308651372587234,0.3,1.5707963267948966,0.04586146608324099,1.723882840520769,26.288114547729492
0.26267103074194864,-0.11806370208974676,0.3,1.5707963267948966,0.03732896925805135,1.6888600288846434,27.557639122009277
0.23640392766775378,-0.10625733188077209,0.3,1.5707963267948966,0.0635960723322462,1.6770536586756686,28.97395372390747
0.2127635349009784,-0.09563159869269489,0.3,1.5707963267948966,0.08723646509902158,1.6664279254875916,30.742603302001953
0.1984206283844428,-0.12180785470744335,0.3,1.5707963267948966,0.10157937161555719,1.6926041815023398,32.24005460739136
0.19526609582515805,-0.07257771313375559,0.3,1.5707963267948966,0.10473390417484194,1.643374039928652,33.76065516471863
0.17573948624264224,-0.06531994182038003,0.3,1.5707963267948966,0.12426051375735775,1.6361162686152766,35.19179034233093
0.158165537618378,-0.05878794763834203,0.3,1.5707963267948966,0.14183446238162198,1.6295842744332385,36.740988969802856
0.1423489838565402,-0.05290915287450783,0.3,1.5707963267948966,0.15765101614345978,1.6237054796694044,38.1859917640686
0.1281140854708862,-0.04761823758705705,0.3,1.5707963267948966,0.17188591452911378,1.6184145643819536,39.620524406433105
0.11530267692379759,-0.04285641382835135,0.3,1.5707963267948966,0.1846973230762024,1.613652740623248,40.93520998954773
0.10377240923141783,-0.03857077244551622,0.3,1.5707963267948966,0.19622759076858215,1.6093670992404128,42.491175174713135
0.09339516830827604,-0.034713695200964595,0.3,1.5707963267948966,0.20660483169172394,1.6055100219958611,43.85654354095459
0.08405565147744844,-0.031242325680868138,0.3,1.5707963267948966,0.21594434852255157,1.6020386524757646,45.41069531440735
0.07565008632970359,-0.028118093112781323,0.3,1.5707963267948966,0.22434991367029639,1.598914419907678,46.770702600479126
0.06808507769673323,-0.025306283801503193,0.3,1.5707963267948966,0.23191492230326677,1.5961026105963998,48.2409942150116
0.06127656992705991,-0.022775655421352875,0.3,1.5707963267948966,0.23872343007294008,1.5935719822162495,49.55264329910278
0.05514891293435392,-0.020498089879217588,0.3,1.5707963267948966,0.24485108706564607,1.591294416674114,50.970656633377075
0.049634021640918534,-0.01844828089129583,0.3,1.5707963267948966,0.2503659783590815,1.5892446076861924,52.500524282455444
0.044670619476826684,-0.016603452802166248,0.3,1.5707963267948966,0.25532938052317333,1.587399779597063,53.98066592216492
0.040203557529144014,-0.014943107521949623,0.3,1.5707963267948966,0.259796442470856,1.5857394343168463,55.33108878135681
0.036183201776229613,-0.013448796769754662,0.3,1.5707963267948966,0.26381679822377035,1.5842451235646513,56.911038398742676
0.032564881598606654,-0.012103917092779196,0.3,1.5707963267948966,0.26743511840139333,1.5829002438876758,58.33107256889343
0.02930839343874599,-0.010893525383501277,0.3,1.5707963267948966,0.270691606561254,1.5816898521783977,59.760703325271606
0.02637755409487139,-0.00980417284515115,0.3,1.5707963267948966,0.2736224459051286,1.5806004996400478,61.50238013267517
0.023739798685384252,-0.008823755560636035,0.3,1.5707963267948966,0.27626020131461576,1.5796200823555326,63.94550347328186
0.02136581881684583,-0.007941380004572432,0.3,1.5707963267948966,0.27863418118315414,1.578737706799469,65.52072954177856
0.019229236935161247,-0.007147242004115189,0.3,1.5707963267948966,0.2807707630648387,1.5779435687990118,67.03171229362488
0.017306313241645124,-0.00643251780370367,0.3,1.5707963267948966,0.2826936867583549,1.5772288445986002,68.39084720611572
